42,42,42,1169,753,1090,350
42,42,42,256,753,350,586
43,43,43,177,842,246,831
43,43,43,1154,842,831,996
44,44,44,129,725,1132,639
44,44,44,129,706,643,260
45,45,45,593,769,611,430
45,45,45,769,430,593,753
46,46,46,579,498,108,1100
46,46,46,498,108,214,562
47,47,47,1111,798,551,398
47,47,47,798,551,1111,845
48,227,227,319,320,48,533
48,48,48,319,320,227,543
49,156,156,49,88,379,951
49,49,49,41,1170,217,193
50,50,50,110,373,176,70
50,692,692,873,50,686,110
51,51,51,894,211,901,200
51,51,51,485,894,211,200
52,52,52,497,226,763,507
52,52,52,497,226,763,921
53,53,53,981,1023,664,575
53,33,33,583,1171,783,209
54,54,54,100,446,328,153
54,54,54,100,446,153,851
55,1122,1122,1117,102,301,37
55,301,301,37,1122,1117,149
56,481,481,40,1087,799,701
56,481,481,701,40,1087,799
57,57,57,338,698,248,769
57,57,57,338,698,248,769
58,58,58,96,415,103,276
58,58,58,96,415,745,282
59,59,59,1034,792,672,183
59,59,59,672,183,1034,1063
60,677,677,388,880,60,522
60,60,60,757,916,680,243
61,61,61,376,256,430,753
61,1050,1050,508,330,61,993
62,725,725,639,713,147,643
62,1096,1096,62,639,82,725
63,63,63,842,302,924,1020
63,63,63,1098,811,1130,692
64,64,64,491,635,34,36
64,64,64,371,310,1027,991
65,65,65,961,669,306,233
65,65,65,711,850,961,354
66,66,66,190,65,744,272
66,66,66,261,273,446,669
67,67,67,193,315,1100,1115
67,67,67,1115,971,590,898
68,68,68,1079,421,166,732
68,68,68,1079,421,166,607
69,69,69,615,439,470,123
69,69,69,1053,615,1083,1086
70,515,515,70,898,572,1104
70,699,699,70,8,752,1136
71,71,71,272,383,916,492
71,71,71,160,272,492,1131
72,72,72,81,933,540,338
72,540,540,72,81,268,479
73,73,73,267,551,1055,867
73,73,73,267,867,366,1055
74,215,215,74,502,662,552
74,74,74,662,215,552,502
75,75,75,586,178,993,1093
75,978,978,75,586,430,184
76,76,76,413,933,1166,819
76,302,302,567,1130,79,878
77,77,77,847,923,304,411
77,77,77,847,304,923,411
78,78,78,180,1055,1076,593
78,78,78,1055,180,593,91
79,79,79,567,231,463,296
79,79,79,567,1130,296,231
80,80,80,102,55,869,245
80,80,80,301,52,102,226
81,81,81,72,347,1124,933
81,81,81,347,72,933,1124
82,82,82,629,749,1096,1098
82,82,82,928,293,1112,629
83,657,657,191,510,124,682
83,83,83,234,728,702,750
84,84,84,642,972,836,872
84,84,84,642,972,126,115
85,85,85,860,681,526,1067
85,85,85,860,1067,162,681
86,86,86,364,280,275,359
86,86,86,364,31,848,1070
87,87,87,24,949,361,1032
87,87,87,858,1153,949,1032
88,88,88,156,465,379,503
88,88,88,379,503,1057,465
89,89,89,452,103,771,182
89,89,89,103,452,860,182
90,516,516,440,964,90,823
90,90,90,266,422,254,516
91,91,91,867,1055,624,469
91,91,91,366,867,107,270
92,92,92,602,97,573,918
92,92,92,602,97,24,274
93,93,93,383,247,289,696
93,93,93,383,247,4,696
94,94,94,1153,400,1025,263
94,94,94,1153,558,704,674
95,95,95,1160,534,761,625
